"CNPJ";"Beneficiário";"Nome Fantasia";"UF";"Município";"CNAE";"Benefício Fiscal";"Valor Renunciado(R$)";
"18.580.513/0001-84";"TITAN ENERGY COMMODITIES IMPORTACAO E EXPORTACAO LTDA";"";"SÃO PAULO";"SANTOS";"52508 - Atividades relacionadas à organização do transporte de carga";"PIS";"2.214.590,00";
"02.003.402/0007-60";"ADM DO BRASIL LTDA";"ADM DO BRASIL";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Imposto de Importação";"2.237.083,00";
"29.332.398/0016-21";"COFCO INTERNATIONAL GRAINS LTDA.";"COFCO INTL";"SÃO PAULO";"SANTOS";"46222 - Comércio atacadista de soja";"Imposto de Importação";"2.319.254,00";
"02.476.026/0008-02";"ULTRAFERTIL SA";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"PIS";"2.393.402,00";
"04.485.210/0011-40";"VITERRA AGRICULTURE BRASIL S.A.";"***";"SÃO PAULO";"SANTOS";"46231 - Comércio atacadista de animais vivos, alimentos para animais e matérias-primas agrícolas, exceto café e soja";"COFINS";"2.407.098,00";
"44.167.450/0001-49";"VOPAK BRASIL S.A.";"";"SÃO PAULO";"SANTOS";"52117 - Armazenamento";"Programa de Alimentação do Trabalhador";"2.459.186,75";
"33.000.167/0286-26";"PETROLEO BRASILEIRO S A PETROBRAS";"PETROBRAS - MERLUZA";"SÃO PAULO";"SANTOS";"06000 - Extração de petróleo e gás natural";"IPI";"2.563.575,00";
"04.028.583/0006-24";"EQUINOR BRASIL ENERGIA LTDA.";"CONSORCIO BM-S-8";"SÃO PAULO";"SANTOS";"06000 - Extração de petróleo e gás natural";"IPI";"2.676.009,00";
"28.971.936/0002-60";"LOG-IN MARITIMA CABOTAGEM LTDA.";"";"SÃO PAULO";"SANTOS";"50114 - Transporte marítimo de cabotagem";"Imposto de Importação";"2.746.735,00";
"25.278.404/0001-72";"ELEVACOES PORTUARIAS S.A";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Pronac - Programa Nacional de Apoio à Cultura - Dedução do Imposto de Renda";"2.894.999,90";
"03.384.298/0003-30";"FLUMAR TRANSPORTES DE QUIMICOS E GASES LTDA";"";"SÃO PAULO";"SANTOS";"50122 - Transporte marítimo de longo curso";"COFINS";"2.945.184,00";
"64.700.024/0001-36";"SAPOTI IMPORTACAO E EXPORTACAO LTDA";"SAPOTI LOGISTICA INTEGRADA";"SÃO PAULO";"SANTOS";"52508 - Atividades relacionadas à organização do transporte de carga";"Imposto de Importação";"3.050.046,00";
"18.459.628/0046-17";"BAYER S.A.";"";"SÃO PAULO";"SANTOS";"46842 - Comércio atacadista de produtos químicos e petroquímicos, exceto agroquímicos";"IPI";"3.090.410,00";
"34.189.633/0001-01";"HIDROVIAS DO BRASIL ADMINISTRACAO PORTUARIA SANTOS S.A.";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"COFINS";"3.145.734,00";
"02.805.610/0002-79";"EMBRAPORT EMPRESA BRASILEIRA DE TERMINAIS PORTUARIOS S/A";"DP WORLD SANTOS";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"COFINS";"3.216.547,00";
"04.887.625/0001-78";"BRASIL TERMINAL PORTUARIO S.A.";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Incentivo ao Desporto";"3.260.684,09";
"64.700.024/0001-36";"SAPOTI IMPORTACAO E EXPORTACAO LTDA";"SAPOTI LOGISTICA INTEGRADA";"SÃO PAULO";"SANTOS";"52508 - Atividades relacionadas à organização do transporte de carga";"COFINS";"3.375.691,00";
"29.332.398/0016-21";"COFCO INTERNATIONAL GRAINS LTDA.";"COFCO INTL";"SÃO PAULO";"SANTOS";"46222 - Comércio atacadista de soja";"PIS";"3.429.269,00";
"84.046.101/0379-41";"BUNGE ALIMENTOS S/A";"";"SÃO PAULO";"SANTOS";"10627 - Moagem de trigo e fabricação de derivados";"PIS";"3.576.394,00";
"44.952.711/0001-31";"INSTITUTO DE EDUCACAO, CULTURA E ENSINO SUPERIOR S/A";"";"SÃO PAULO";"SANTOS";"85325 - Educação superior - graduação e pós-graduação";"Prouni - Programa Universidade para Todos CSLL";"3.584.614,95";
"17.332.146/0001-37";"CAPE FEIRAS E EVENTOS LTDA";"";"SÃO PAULO";"SANTOS";"77390 - Aluguel de máquinas e equipamentos não especificados anteriormente";"Programa Emergencial de Retomada do Setor de Eventos (Perse) - IRPJ";"3.609.813,78";
"02.703.755/0003-40";"ADONAI QUIMICA S/A";"";"SÃO PAULO";"SANTOS";"52117 - Armazenamento";"IPI";"4.032.317,00";
"21.870.272/0003-84";"COVESTRO INDUSTRIA E COMERCIO DE POLIMEROS LTDA";"";"SÃO PAULO";"SANTOS";"46842 - Comércio atacadista de produtos químicos e petroquímicos, exceto agroquímicos";"IPI";"4.251.428,00";
"33.000.167/0286-26";"PETROLEO BRASILEIRO S A PETROBRAS";"PETROBRAS - MERLUZA";"SÃO PAULO";"SANTOS";"06000 - Extração de petróleo e gás natural";"COFINS";"4.265.259,00";
"01.341.776/0003-08";"MERCOSUL LINE NAVEGACAO E LOGISTICA LTDA";"MERCOSUL LINE";"SÃO PAULO";"SANTOS";"50114 - Transporte marítimo de cabotagem";"IPI";"4.342.549,00";
"03.384.298/0003-30";"FLUMAR TRANSPORTES DE QUIMICOS E GASES LTDA";"";"SÃO PAULO";"SANTOS";"50122 - Transporte marítimo de longo curso";"Imposto de Importação";"4.358.326,00";
"02.427.026/0012-07";"ALIANCA NAVEGACAO E LOGISTICA LTDA.";"ALIANCA";"SÃO PAULO";"SANTOS";"50114 - Transporte marítimo de cabotagem";"IPI";"4.400.392,00";
"84.046.101/0582-72";"BUNGE ALIMENTOS S/A";"";"SÃO PAULO";"SANTOS";"10627 - Moagem de trigo e fabricação de derivados";"Imposto de Importação";"5.249.689,00";
"11.454.455/0001-01";"OIL TRADING IMPORTADORA E EXPORTADORA LTDA.";"";"SÃO PAULO";"SANTOS";"46818 - Comércio atacadista de combustíveis sólidos, líquidos e gasosos, exceto gás natural e GLP";"PIS";"5.343.783,00";
"18.845.076/0001-83";"TES - TERMINAL EXPORTADOR DE SANTOS S.A.";"TES - TERMINAL EXPORTADOR DE SANTOS S.A.";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"COFINS";"5.643.160,00";
"02.703.755/0003-40";"ADONAI QUIMICA S/A";"";"SÃO PAULO";"SANTOS";"52117 - Armazenamento";"PIS";"5.665.716,00";
"18.395.435/0001-48";"ALFA LULA ALTO OPERACOES MARITIMAS LTDA";"";"SÃO PAULO";"SANTOS";"09106 - Atividades de apoio à extração de petróleo e gás natural";"IPI";"5.875.937,00";
"57.728.743/0001-08";"TV MAR LTDA";"RECORD TV LITORAL E/OU RECORD TV VALE";"SÃO PAULO";"SANTOS";"60217 - Atividades de televisão aberta";"Horário Eleitoral";"7.022.668,95";
"33.000.167/0286-26";"PETROLEO BRASILEIRO S A PETROBRAS";"PETROBRAS - MERLUZA";"SÃO PAULO";"SANTOS";"06000 - Extração de petróleo e gás natural";"Imposto de Importação";"7.071.932,00";
"18.845.076/0001-83";"TES - TERMINAL EXPORTADOR DE SANTOS S.A.";"TES - TERMINAL EXPORTADOR DE SANTOS S.A.";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Imposto de Importação";"7.101.325,00";
"18.459.628/0046-17";"BAYER S.A.";"";"SÃO PAULO";"SANTOS";"46842 - Comércio atacadista de produtos químicos e petroquímicos, exceto agroquímicos";"COFINS";"7.216.369,00";
"33.000.167/0603-50";"PETROLEO BRASILEIRO S A PETROBRAS";"PETROBRAS DEPTO COMERCIAL";"SÃO PAULO";"SANTOS";"46818 - Comércio atacadista de combustíveis sólidos, líquidos e gasosos, exceto gás natural e GLP";"PIS";"7.338.927,00";
"84.046.101/0581-91";"BUNGE ALIMENTOS S/A";"";"SÃO PAULO";"SANTOS";"46320 - Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas";"COFINS";"7.506.110,00";
"06.315.338/0003-80";"COFCO INTERNATIONAL BRASIL S.A.";"COFCO INTL";"SÃO PAULO";"SANTOS";"46214 - Comércio atacadista de café em grão";"COFINS";"7.639.744,00";
"21.870.272/0003-84";"COVESTRO INDUSTRIA E COMERCIO DE POLIMEROS LTDA";"";"SÃO PAULO";"SANTOS";"46842 - Comércio atacadista de produtos químicos e petroquímicos, exceto agroquímicos";"COFINS";"7.770.311,00";
"04.887.625/0001-78";"BRASIL TERMINAL PORTUARIO S.A.";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Pronac - Programa Nacional de Apoio à Cultura - Dedução do Imposto de Renda";"7.921.086,78";
"18.459.628/0046-17";"BAYER S.A.";"";"SÃO PAULO";"SANTOS";"46842 - Comércio atacadista de produtos químicos e petroquímicos, exceto agroquímicos";"Imposto de Importação";"8.086.378,00";
"01.341.776/0003-08";"MERCOSUL LINE NAVEGACAO E LOGISTICA LTDA";"MERCOSUL LINE";"SÃO PAULO";"SANTOS";"50114 - Transporte marítimo de cabotagem";"COFINS";"8.100.956,00";
"02.427.026/0012-07";"ALIANCA NAVEGACAO E LOGISTICA LTDA.";"ALIANCA";"SÃO PAULO";"SANTOS";"50114 - Transporte marítimo de cabotagem";"COFINS";"8.305.596,00";
"17.233.151/0001-92";"AGEO LESTE TERMINAIS E ARMAZENS GERAIS S.A.";"AGEO LESTE";"SÃO PAULO";"SANTOS";"52117 - Armazenamento";"COFINS";"8.609.932,00";
"02.390.435/0001-15";"ECOPORTO SANTOS S.A.";"ECOPORTO SANTOS";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"COFINS";"9.145.024,00";
"04.887.625/0001-78";"BRASIL TERMINAL PORTUARIO S.A.";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Imposto de Importação";"9.246.003,00";
"04.028.583/0009-77";"EQUINOR BRASIL ENERGIA LTDA.";"CONSORCIO CAMPO DE BACALHAU";"SÃO PAULO";"SANTOS";"06000 - Extração de petróleo e gás natural";"PIS";"9.252.254,00";
"04.904.699/0001-75";"ESACOM-ESCOLA SUPERIOR DE ADMINISTRACAO, COMUNICACAO E MARKETING LTDA.";"";"SÃO PAULO";"SANTOS";"85317 - Educação superior - graduação";"Prouni - Programa Universidade para Todos CSLL";"9.637.388,64";
"04.887.625/0001-78";"BRASIL TERMINAL PORTUARIO S.A.";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"COFINS";"9.742.597,00";
"18.580.513/0001-84";"TITAN ENERGY COMMODITIES IMPORTACAO E EXPORTACAO LTDA";"";"SÃO PAULO";"SANTOS";"52508 - Atividades relacionadas à organização do transporte de carga";"COFINS";"10.176.676,00";
"02.427.026/0012-07";"ALIANCA NAVEGACAO E LOGISTICA LTDA.";"ALIANCA";"SÃO PAULO";"SANTOS";"50114 - Transporte marítimo de cabotagem";"Imposto de Importação";"10.963.981,00";
"61.090.619/0010-10";"MITSUBISHI CORPORATION DO BRASIL S/A";"";"SÃO PAULO";"SANTOS";"46842 - Comércio atacadista de produtos químicos e petroquímicos, exceto agroquímicos";"Imposto de Importação";"11.412.932,00";
"01.341.776/0003-08";"MERCOSUL LINE NAVEGACAO E LOGISTICA LTDA";"MERCOSUL LINE";"SÃO PAULO";"SANTOS";"50114 - Transporte marítimo de cabotagem";"Imposto de Importação";"11.448.428,00";
"02.390.435/0001-15";"ECOPORTO SANTOS S.A.";"ECOPORTO SANTOS";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Imposto de Importação";"12.021.627,00";
"02.476.026/0008-02";"ULTRAFERTIL SA";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"COFINS";"12.073.317,00";
"05.794.155/0001-60";"LM IMPORTACAO E EXPORTACAO LTDA";"LM PESCADOS";"SÃO PAULO";"SANTOS";"10201 - Preservação do pescado e fabricação de produtos do pescado";"PIS";"12.917.088,00";
"61.090.619/0010-10";"MITSUBISHI CORPORATION DO BRASIL S/A";"";"SÃO PAULO";"SANTOS";"46842 - Comércio atacadista de produtos químicos e petroquímicos, exceto agroquímicos";"PIS";"13.051.034,00";
"60.854.189/0002-92";"MOINHO PACIFICO INDUSTRIA E COMERCIO LTDA";"";"SÃO PAULO";"SANTOS";"10627 - Moagem de trigo e fabricação de derivados";"PIS";"13.299.247,00";
"09.347.916/0004-30";"KAROON PETROLEO & GAS LTDA";"";"SÃO PAULO";"SANTOS";"06000 - Extração de petróleo e gás natural";"PIS";"14.278.169,00";
"04.887.625/0001-78";"BRASIL TERMINAL PORTUARIO S.A.";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Programa de Alimentação do Trabalhador";"14.592.560,68";
"33.000.167/0289-79";"PETROLEO BRASILEIRO S A PETROBRAS";"PETROBRAS - MEXILHAO";"SÃO PAULO";"SANTOS";"06000 - Extração de petróleo e gás natural";"PIS";"14.723.487,00";
"04.879.841/0003-33";"ADISSEO BRASIL NUTRICAO ANIMAL LTDA";"";"SÃO PAULO";"SANTOS";"46397 - Comércio atacadista de produtos alimentícios em geral";"PIS";"14.974.921,00";
"02.476.026/0008-02";"ULTRAFERTIL SA";"";"SÃO PAULO";"SANTOS";"52311 - Gestão de portos e terminais";"Imposto de Importação";"15.050.897,00";
"29.332.398/0016-21";"COFCO INTERNATIONAL GRAINS LTDA.";"COFCO INTL";"SÃO PAULO";"SANTOS";"46222 - Comércio atacadista de soja";"COFINS";"15.758.306,00";
"84.046.101/0379-41";"BUNGE ALIMENTOS S/A";"";"SÃO PAULO";"SANTOS";"10627 - Moagem de trigo e fabricação de derivados";"COFINS";"16.439.772,00";
"33.000.167/0895-01";"PETROLEO BRASILEIRO S A PETROBRAS";"PETROBRAS";"SÃO PAULO";"SANTOS";"06000 - Extração de petróleo e gás natural";"PIS";"16.743.352,00";
"44.167.450/0001-49";"VOPAK BRASIL S.A.";"";"SÃO PAULO";"SANTOS";"52117 - Armazenamento";"PIS";"18.903.945,00";
"03.798.096/0002-54";"AGEO TERMINAIS E ARMAZENS GERAIS S.A";"";"SÃO PAULO";"SANTOS";"52117 - Armazenamento";"PIS";"22.405.955,00";
"44.952.711/0001-31";"INSTITUTO DE EDUCACAO, CULTURA E ENSINO SUPERIOR S/A";"";"SÃO PAULO";"SANTOS";"85325 - Educação superior - graduação e pós-graduação";"Prouni - Programa Universidade para Todos";"23.693.913,06";
"11.454.455/0001-01";"OIL TRADING IMPORTADORA E EXPORTADORA LTDA.";"";"SÃO PAULO";"SANTOS";"46818 - Comércio atacadista de combustíveis sólidos, líquidos e gasosos, exceto gás natural e GLP";"COFINS";"24.662.454,00";
"02.703.755/0003-40";"ADONAI QUIMICA S/A";"";"SÃO PAULO";"SANTOS";"52117 - Armazenamento";"COFINS";"26.045.903,00";
"04.904.699/0001-75";"ESACOM-ESCOLA SUPERIOR DE ADMINISTRACAO, COMUNICACAO E MARKETING LTDA.";"";"SÃO PAULO";"SANTOS";"85317 - Educação superior - graduação";"Prouni - Programa Universidade para Todos";"26.557.090,88";
"44.167.450/0001-49";"VOPAK BRASIL S.A.";"";"SÃO PAULO";"SANTOS";"52117 - Armazenamento";"IPI";"27.295.792,00";
"34.840.096/0001-18";"TRSP - TERMINAL DE REGASEIFICACAO DE GNL DE SAO PAULO S.A";"";"SÃO PAULO";"SANTOS";"00000 - Sem informação";"PIS";"31.147.712,00";
"04.028.583/0009-77";"EQUINOR BRASIL ENERGIA LTDA.";"CONSORCIO CAMPO DE BACALHAU";"SÃO PAULO";"SANTOS";"06000 - Extração de petróleo e gás natural";"IPI";"31.298.306,00";
"33.000.167/0603-50";"PETROLEO BRASILEIRO S A PETROBRAS";"PETROBRAS DEPTO COMERCIAL";"SÃO PAULO";"SANTOS";"46818 - Comércio atacadista de combustíveis sólidos, líquidos e gasosos, exceto gás natural e GLP";"COFINS";"33.724.799,00";
"44.167.450/0001-49";"VOPAK BRASIL S.A.";"";"SÃO PAULO";"SANTOS";"52117 - Armazenamento";"Sudam/Sudene - Redução 75% Projeto Setor Prioritário";"38.639.557,73";
"29.512.332/0007-22";"BASF POLIURETANOS LTDA";"";"SÃO PAULO";"SANTOS";"46842 - Comércio atacadista de produtos químicos e petroquímicos, exceto agroquímicos";"Imposto de Importação";"42.797.507,00";
"04.028.583/0009-77";"EQUINOR BRASIL ENERGIA LTDA.";"CONSORCIO CAMPO DE BACALHAU";"SÃO PAULO";"SANTOS";"06000 - Extração de petróleo e gás natural";"COFINS";"44.996.703,00";
"33.000.167/0895-01";"PETROLEO BRASILEIRO S A PETROBRAS";"PETROBRAS";"SÃO PAULO";"SANTOS";"06000 - Extração de petróleo e gás natural";"IPI";"45.288.761,00";
"04.028.583/0006-24";"EQUINOR BRASIL ENERGIA LTDA.";"CONSORCIO BM-S-8";"SÃO PAULO";"SANTOS";"06000 - Extração de petróleo e gás natural";"PIS";"46.940.623,00";
"44.167.450/0001-49";"VOPAK BRASIL S.A.";"";"SÃO PAULO";"SANTOS";"52117 - Armazenamento";"Imposto de Importação";"47.987.889,00";
"33.390.527/0003-90";"MOINHO PAULISTA SA";"";"SÃO PAULO";"SANTOS";"10627 - Moagem de trigo e fabricação de derivados";"PIS";"50.486.840,00";
"04.028.583/0009-77";"EQUINOR BRASIL ENERGIA LTDA.";"CONSORCIO CAMPO DE BACALHAU";"SÃO PAULO";"SANTOS";"06000 - Extração de petróleo e gás natural";"Imposto de Importação";"53.796.217,00";
"21.870.272/0003-84";"COVESTRO INDUSTRIA E COMERCIO DE POLIMEROS LTDA";"";"SÃO PAULO";"SANTOS";"46842 - Comércio atacadista de produtos químicos e petroquímicos, exceto agroquímicos";"Imposto de Importação";"57.181.723,00";
"61.090.619/0010-10";"MITSUBISHI CORPORATION DO BRASIL S/A";"";"SÃO PAULO";"SANTOS";"46842 - Comércio atacadista de produtos químicos e petroquímicos, exceto agroquímicos";"COFINS";"59.972.615,00";
"05.794.155/0001-60";"LM IMPORTACAO E EXPORTACAO LTDA";"LM PESCADOS";"SÃO PAULO";"SANTOS";"10201 - Preservação do pescado e fabricação de produtos do pescado";"COFINS";"60.540.844,00";
"60.854.189/0002-92";"MOINHO PACIFICO INDUSTRIA E COMERCIO LTDA";"";"SÃO PAULO";"SANTOS";"10627 - Moagem de trigo e fabricação de derivados";"COFINS";"61.121.165,00";
"84.046.101/0582-72";"BUNGE ALIMENTOS S/A";"";"SÃO PAULO";"SANTOS";"10627 - Moagem de trigo e fabricação de derivados";"PIS";"64.796.945,00";
"09.347.916/0004-30";"KAROON PETROLEO & GAS LTDA";"";"SÃO PAULO";"SANTOS";"06000 - Extração de petróleo e gás natural";"COFINS";"65.785.228,00";
"33.000.167/0289-79";"PETROLEO BRASILEIRO S A PETROBRAS";"PETROBRAS - MEXILHAO";"SÃO PAULO";"SANTOS";"06000 - Extração de petróleo e gás natural";"COFINS";"67.659.411,00";
"04.879.841/0003-33";"ADISSEO BRASIL NUTRICAO ANIMAL LTDA";"";"SÃO PAULO";"SANTOS";"46397 - Comércio atacadista de produtos alimentícios em geral";"COFINS";"68.821.404,00";
"09.347.916/0004-30";"KAROON PETROLEO & GAS LTDA";"";"SÃO PAULO";"SANTOS";"06000 - Extração de petróleo e gás natural";"Imposto de Importação";"77.610.745,00";
"33.000.167/0895-01";"PETROLEO BRASILEIRO S A PETROBRAS";"PETROBRAS";"SÃO PAULO";"SANTOS";"06000 - Extração de petróleo e gás natural";"COFINS";"78.012.581,00";
"44.167.450/0001-49";"VOPAK BRASIL S.A.";"";"SÃO PAULO";"SANTOS";"52117 - Armazenamento";"COFINS";"86.876.223,00";
"33.000.167/0289-79";"PETROLEO BRASILEIRO S A PETROBRAS";"PETROBRAS - MEXILHAO";"SÃO PAULO";"SANTOS";"06000 - Extração de petróleo e gás natural";"Imposto de Importação";"88.338.852,00";
"03.798.096/0002-54";"AGEO TERMINAIS E ARMAZENS GERAIS S.A";"";"SÃO PAULO";"SANTOS";"52117 - Armazenamento";"COFINS";"102.988.053,00";
"33.000.167/0895-01";"PETROLEO BRASILEIRO S A PETROBRAS";"PETROBRAS";"SÃO PAULO";"SANTOS";"06000 - Extração de petróleo e gás natural";"Imposto de Importação";"125.422.621,00";
"34.840.096/0001-18";"TRSP - TERMINAL DE REGASEIFICACAO DE GNL DE SAO PAULO S.A";"";"SÃO PAULO";"SANTOS";"00000 - Sem informação";"COFINS";"143.131.156,00";
"58.780.453/0001-68";"SAT SISTEMA A TRIBUNA DE COMUNICACAO-SANTOS LTDA";"";"SÃO PAULO";"SANTOS";"60217 - Atividades de televisão aberta";"Horário Eleitoral";"151.751.297,51";
"18.395.435/0001-48";"ALFA LULA ALTO OPERACOES MARITIMAS LTDA";"";"SÃO PAULO";"SANTOS";"09106 - Atividades de apoio à extração de petróleo e gás natural";"PIS";"157.033.018,00";
"34.840.096/0001-18";"TRSP - TERMINAL DE REGASEIFICACAO DE GNL DE SAO PAULO S.A";"";"SÃO PAULO";"SANTOS";"00000 - Sem informação";"Imposto de Importação";"166.144.657,00";
"33.390.527/0003-90";"MOINHO PAULISTA SA";"";"SÃO PAULO";"SANTOS";"10627 - Moagem de trigo e fabricação de derivados";"COFINS";"232.009.924,00";
"04.028.583/0006-24";"EQUINOR BRASIL ENERGIA LTDA.";"CONSORCIO BM-S-8";"SÃO PAULO";"SANTOS";"06000 - Extração de petróleo e gás natural";"COFINS";"237.455.075,00";
"84.046.101/0582-72";"BUNGE ALIMENTOS S/A";"";"SÃO PAULO";"SANTOS";"10627 - Moagem de trigo e fabricação de derivados";"COFINS";"297.761.884,00";
"04.028.583/0006-24";"EQUINOR BRASIL ENERGIA LTDA.";"CONSORCIO BM-S-8";"SÃO PAULO";"SANTOS";"06000 - Extração de petróleo e gás natural";"Imposto de Importação";"313.842.292,00";
"18.395.435/0001-48";"ALFA LULA ALTO OPERACOES MARITIMAS LTDA";"";"SÃO PAULO";"SANTOS";"09106 - Atividades de apoio à extração de petróleo e gás natural";"COFINS";"796.381.728,00";
"18.395.435/0001-48";"ALFA LULA ALTO OPERACOES MARITIMAS LTDA";"";"SÃO PAULO";"SANTOS";"09106 - Atividades de apoio à extração de petróleo e gás natural";"Imposto de Importação";"1.045.963.140,00";
